house,bravery_score,wisdom_score,ambition_score,loyalty_score,leadership,impulsiveness,justice_oriented,risk_taking,bravery_loyalty_ratio,wisdom_ambition_ratio,leadership_potential,moral_flexibility,calculated_thinking,courage_type,gryffindor_composite,hufflepuff_composite,ravenclaw_composite,slytherin_composite
Ravenclaw,5,10,6,7,8,4,6,4,0.7042253521126761,1.639344262295082,6.333333333333333,4,8.0,2.0,5.55,6.0,8.3,6.8999999999999995
Slytherin,3,7,8,4,10,3,3,6,0.7317073170731708,0.8641975308641976,7.0,7,7.0,1.8,3.85,3.8,7.799999999999999,8.1
Slytherin,8,6,9,6,8,6,5,5,1.3114754098360657,0.6593406593406593,8.333333333333334,5,5.0,4.0,6.15,4.45,6.75,7.3500000000000005
Slytherin,7,7,8,5,8,4,6,8,1.3725490196078431,0.8641975308641976,7.666666666666667,4,6.5,5.6,6.449999999999999,4.8,7.274999999999999,7.0
Ravenclaw,4,10,8,8,7,4,5,7,0.4938271604938272,1.234567901234568,6.333333333333333,5,8.0,2.8,5.8500000000000005,5.75,8.5,7.55
Gryffindor,9,6,6,8,6,5,10,10,1.1111111111111112,0.9836065573770493,7.0,0,5.5,9.0,9.2,7.25,5.875,4.8
Gryffindor,7,5,8,6,9,6,10,7,1.1475409836065575,0.617283950617284,8.0,0,4.5,4.9,7.5,5.9,6.2749999999999995,6.05
Slytherin,5,8,10,4,8,6,4,8,1.2195121951219514,0.7920792079207921,7.666666666666667,6,6.0,4.0,5.1,3.2,7.9,8.3
Hufflepuff,6,7,5,10,5,5,8,3,0.594059405940594,1.3725490196078431,5.333333333333333,2,6.0,1.8,6.9,7.75,5.949999999999999,4.800000000000001
Slytherin,5,7,6,7,8,6,6,8,0.7042253521126761,1.1475409836065575,6.333333333333333,4,5.5,4.0,6.35,5.7,6.625,6.3
Gryffindor,9,4,8,6,9,7,7,8,1.4754098360655739,0.4938271604938272,8.666666666666666,3,3.5,7.2,7.549999999999999,5.000000000000001,5.675,6.449999999999999
Slytherin,8,9,10,6,9,3,6,6,1.3114754098360657,0.8910891089108911,9.0,4,8.0,4.8,6.6000000000000005,4.95,8.950000000000001,8.35
Ravenclaw,5,9,7,7,6,3,9,5,0.7042253521126761,1.267605633802817,6.0,1,8.0,2.5,6.5,6.7,7.750000000000001,5.95
Gryffindor,8,6,9,8,10,7,8,7,0.9876543209876544,0.6593406593406593,9.0,2,4.5,5.6,7.800000000000001,5.8500000000000005,7.0249999999999995,7.250000000000001
Ravenclaw,4,8,6,6,7,4,7,6,0.6557377049180328,1.3114754098360657,5.666666666666667,3,7.0,2.4,5.65,5.85,7.15,6.049999999999999
Slytherin,6,9,9,5,7,4,7,5,1.1764705882352942,0.989010989010989,7.333333333333333,3,7.5,3.0,5.8,4.85,8.225,7.300000000000001
Hufflepuff,7,7,4,8,7,5,9,4,0.8641975308641976,1.707317073170732,6.0,1,6.0,2.8,7.1499999999999995,7.4,6.15,4.75
Slytherin,8,6,8,5,7,3,4,5,1.5686274509803924,0.7407407407407408,7.666666666666667,6,6.5,4.0,5.65,4.45,6.725,6.95
Ravenclaw,5,10,8,8,6,5,6,7,0.617283950617284,1.234567901234568,6.333333333333333,4,7.5,3.5,6.4,5.8500000000000005,8.175,7.1
Ravenclaw,7,10,8,5,8,3,7,7,1.3725490196078431,1.234567901234568,7.666666666666667,3,8.5,4.9,6.5,5.2,8.825,7.4
Ravenclaw,7,10,8,9,6,2,8,6,0.7692307692307693,1.234567901234568,7.0,2,9.0,4.2,7.55,7.2,8.55,6.7
Ravenclaw,7,10,6,7,5,5,8,6,0.9859154929577465,1.639344262295082,6.0,2,7.5,4.2,7.05,6.3500000000000005,7.575,5.75
Ravenclaw,7,8,8,10,5,5,6,4,0.6930693069306931,0.9876543209876544,6.666666666666667,4,6.5,2.8,6.8999999999999995,6.65,7.025,6.45
Ravenclaw,2,10,6,7,8,5,8,4,0.28169014084507044,1.639344262295082,5.333333333333333,2,7.5,0.8,5.1499999999999995,6.3500000000000005,8.175,6.5
Hufflepuff,4,5,6,9,4,4,9,5,0.43956043956043955,0.819672131147541,4.666666666666667,1,5.5,2.0,6.7,7.549999999999999,5.125,4.3
Slytherin,5,7,10,5,7,5,6,6,0.9803921568627452,0.6930693069306931,7.333333333333333,4,6.0,3.0,5.45,4.25,7.35,7.45
Gryffindor,8,6,8,6,6,9,10,7,1.3114754098360657,0.7407407407407408,7.333333333333333,0,3.5,5.6,7.800000000000001,5.450000000000001,5.7749999999999995,5.5
Slytherin,6,7,9,4,9,5,4,8,1.4634146341463417,0.7692307692307693,8.0,6,6.0,4.8,5.4,3.5500000000000003,7.55,8.0
Gryffindor,10,7,8,9,7,9,8,9,1.098901098901099,0.8641975308641976,8.333333333333334,2,4.0,9.0,9.05,6.15,6.45,6.3500000000000005
Gryffindor,7,6,7,9,6,8,8,7,0.7692307692307693,0.8450704225352114,6.666666666666667,2,4.0,4.9,7.75,6.499999999999999,5.7,5.550000000000001
Hufflepuff,6,3,4,8,4,5,8,5,0.7407407407407408,0.7317073170731708,4.666666666666667,2,4.0,3.0,6.8,7.15,3.6499999999999995,3.4
Ravenclaw,6,8,8,7,4,5,8,4,0.8450704225352114,0.9876543209876544,6.0,2,6.5,2.4,6.35,5.950000000000001,6.825,5.800000000000001
Gryffindor,9,6,5,6,7,8,8,9,1.4754098360655739,1.1764705882352942,7.0,2,4.0,8.1,7.999999999999999,5.7,5.5,5.1000000000000005
Slytherin,7,6,8,6,8,3,4,6,1.1475409836065575,0.7407407407407408,7.666666666666667,6,6.5,4.2,5.8,4.8500000000000005,6.924999999999999,7.2
Slytherin,6,6,9,6,9,3,4,6,0.9836065573770493,0.6593406593406593,8.0,6,6.5,3.6,5.5,4.65,7.324999999999999,7.800000000000001
Slytherin,10,7,8,7,10,4,1,8,1.4084507042253522,0.8641975308641976,9.333333333333334,9,6.5,8.0,6.6,4.35,7.674999999999999,8.5
Slytherin,8,7,9,4,8,5,5,7,1.9512195121951221,0.7692307692307693,8.333333333333334,5,6.0,5.6,6.050000000000001,3.8000000000000003,7.35,7.550000000000001
Slytherin,6,9,9,4,9,6,7,5,1.4634146341463417,0.989010989010989,8.0,3,6.5,3.0,5.55,4.15,8.375,7.800000000000001
Ravenclaw,6,8,4,5,8,2,8,7,1.1764705882352942,1.9512195121951221,6.0,2,8.0,4.2,6.45,6.4,7.199999999999999,5.4
Ravenclaw,7,8,9,5,7,4,6,6,1.3725490196078431,0.8791208791208791,7.666666666666667,4,7.0,4.2,6.05,4.6,7.75,7.3
Slytherin,8,7,10,5,8,4,6,6,1.5686274509803924,0.6930693069306931,8.666666666666666,4,6.5,4.8,6.3500000000000005,4.4,7.674999999999999,7.7
Slytherin,7,7,8,6,10,5,6,5,1.1475409836065575,0.8641975308641976,8.333333333333334,4,6.0,3.5,6.1,5.050000000000001,7.55,7.5
Hufflepuff,4,8,3,8,9,3,6,4,0.4938271604938272,2.5806451612903225,5.333333333333333,4,7.5,1.6,5.5,7.15,7.075,5.7
Gryffindor,10,5,5,8,8,7,10,9,1.234567901234568,0.9803921568627452,7.666666666666667,0,4.0,9.0,9.3,7.15,5.35,4.75
Slytherin,6,9,9,5,10,3,6,6,1.1764705882352942,0.989010989010989,8.333333333333334,4,8.0,3.6,5.75,4.75,8.95,8.25
Hufflepuff,6,7,6,9,5,3,6,5,0.6593406593406593,1.1475409836065575,5.666666666666667,4,7.0,3.0,6.55,6.949999999999999,6.3999999999999995,5.55
Hufflepuff,4,5,3,8,3,3,6,1,0.4938271604938272,1.6129032258064515,3.3333333333333335,4,6.0,0.4,4.9,7.15,4.45,3.5999999999999996
Hufflepuff,4,7,3,10,3,2,7,4,0.39603960396039606,2.258064516129032,3.3333333333333335,3,7.5,1.6,6.25,8.35,5.524999999999999,3.8000000000000003
Ravenclaw,3,10,8,8,4,3,8,7,0.3703703703703704,1.234567901234568,5.0,2,8.5,2.1,6.300000000000001,6.65,8.025,6.2
Ravenclaw,6,9,7,6,7,3,8,4,0.9836065573770493,1.267605633802817,6.666666666666667,2,8.0,2.4,6.1,6.05,7.950000000000001,6.3999999999999995
Hufflepuff,7,7,4,7,6,2,8,5,0.9859154929577465,1.707317073170732,5.666666666666667,2,7.5,3.5,6.85,7.200000000000001,6.324999999999999,4.7
Hufflepuff,7,6,6,10,4,3,9,4,0.6930693069306931,0.9836065573770493,5.666666666666667,1,6.5,2.8,7.6499999999999995,8.1,5.725,4.5
Gryffindor,7,6,5,9,6,7,7,9,0.7692307692307693,1.1764705882352942,6.0,3,4.5,6.3,7.8999999999999995,6.8,5.425,5.050000000000001
Ravenclaw,3,9,6,6,4,6,6,5,0.49180327868852464,1.4754098360655739,4.333333333333333,4,6.5,1.5,4.9,5.3,6.775,5.699999999999999
Hufflepuff,6,7,6,10,3,3,5,6,0.594059405940594,1.1475409836065575,5.0,5,7.0,3.6,6.75,7.1,6.0,5.25
Ravenclaw,3,10,8,8,4,2,7,6,0.3703703703703704,1.234567901234568,5.0,3,9.0,1.8,5.8500000000000005,6.550000000000001,8.15,6.4
Hufflepuff,4,7,4,9,5,2,10,3,0.43956043956043955,1.707317073170732,4.333333333333333,0,7.5,1.2,6.550000000000001,8.5,6.124999999999999,4.05
Hufflepuff,5,8,6,10,7,2,7,5,0.49504950495049505,1.3114754098360657,6.0,3,8.0,2.5,6.75,7.75,7.4,6.049999999999999
Hufflepuff,5,5,3,10,3,5,8,4,0.49504950495049505,1.6129032258064515,3.6666666666666665,2,5.0,2.0,6.8,8.15,4.2,3.1999999999999997
Gryffindor,9,8,9,9,10,6,7,10,0.989010989010989,0.8791208791208791,9.333333333333334,3,6.0,9.0,8.7,6.1499999999999995,8.1,7.85
Gryffindor,10,6,5,9,6,8,7,8,1.098901098901099,1.1764705882352942,7.0,3,4.0,8.0,8.6,6.6499999999999995,5.3,5.050000000000001
Hufflepuff,7,7,5,8,4,2,6,4,0.8641975308641976,1.3725490196078431,5.333333333333333,4,7.5,2.8,6.3999999999999995,6.9,6.124999999999999,4.95
Ravenclaw,6,8,8,7,5,5,6,6,0.8450704225352114,0.9876543209876544,6.333333333333333,4,6.5,3.6,6.25,5.450000000000001,7.025,6.45
Ravenclaw,6,8,9,7,4,2,5,4,0.8450704225352114,0.8791208791208791,6.333333333333333,5,8.0,2.4,5.6,5.450000000000001,7.3999999999999995,6.75
Hufflepuff,4,8,5,9,3,2,7,5,0.43956043956043955,1.5686274509803924,4.0,3,8.0,2.0,6.2,7.55,6.4,4.699999999999999
Ravenclaw,3,8,8,5,8,3,5,7,0.5882352941176471,0.9876543209876544,6.333333333333333,5,7.5,2.1,4.8,4.7,7.875,7.4
Slytherin,8,8,9,6,10,4,6,8,1.3114754098360657,0.8791208791208791,9.0,4,7.0,6.4,7.0,5.0,8.35,8.05
Gryffindor,7,7,6,9,10,9,9,8,0.7692307692307693,1.1475409836065575,7.666666666666667,1,4.0,5.6,8.2,6.8,6.65,6.2
Slytherin,5,6,8,6,8,4,7,8,0.819672131147541,0.7407407407407408,7.0,3,6.0,4.0,6.35,5.450000000000001,6.799999999999999,6.6
Gryffindor,9,7,6,7,10,6,8,10,1.267605633802817,1.1475409836065575,8.333333333333334,2,5.5,9.0,8.45,6.2,7.025,6.4
Slytherin,6,7,8,7,8,4,5,5,0.8450704225352114,0.8641975308641976,7.333333333333333,5,6.5,3.0,5.8,5.350000000000001,7.274999999999999,7.2
Slytherin,7,8,9,4,10,4,6,8,1.707317073170732,0.8791208791208791,8.666666666666666,4,7.0,5.6,6.199999999999999,4.2,8.35,8.05
Ravenclaw,7,10,6,8,5,5,6,5,0.8641975308641976,1.639344262295082,6.0,4,7.5,3.5,6.6,6.25,7.575,6.1499999999999995
Slytherin,5,9,10,7,10,6,3,8,0.7042253521126761,0.8910891089108911,8.333333333333334,7,6.5,4.0,5.6,4.15,8.775,9.2
Ravenclaw,4,9,9,8,8,3,7,6,0.4938271604938272,0.989010989010989,7.0,3,8.0,2.4,6.15,6.2,8.55,7.550000000000001
Ravenclaw,3,9,6,6,8,2,5,6,0.49180327868852464,1.4754098360655739,5.666666666666667,5,8.5,1.8,4.85,5.65,8.075000000000001,6.8999999999999995
Slytherin,6,9,8,7,8,6,5,5,0.8450704225352114,1.1111111111111112,7.333333333333333,5,6.5,3.0,5.8,5.050000000000001,7.975,7.6
Gryffindor,10,8,8,8,8,6,10,10,1.234567901234568,0.9876543209876544,8.666666666666666,0,6.0,10.0,9.5,6.7,7.5,6.4
Gryffindor,10,4,5,9,10,7,9,10,1.098901098901099,0.7843137254901962,8.333333333333334,1,3.5,10.0,9.5,7.3,5.275,5.25
Slytherin,8,8,8,4,7,4,5,8,1.9512195121951221,0.9876543209876544,7.666666666666667,5,7.0,6.4,6.25,4.15,7.550000000000001,7.15
Slytherin,5,8,10,7,8,6,6,8,0.7042253521126761,0.7920792079207921,7.666666666666667,4,6.0,4.0,6.35,4.9,7.9,7.8999999999999995
Hufflepuff,4,7,3,9,7,4,10,6,0.43956043956043955,2.258064516129032,4.666666666666667,0,6.5,2.4,7.15,8.4,6.074999999999999,4.2
Ravenclaw,3,8,8,6,6,4,6,4,0.49180327868852464,0.9876543209876544,5.666666666666667,4,7.0,1.2,4.7,5.200000000000001,7.3500000000000005,6.7
Ravenclaw,4,8,7,7,6,4,7,4,0.5633802816901409,1.1267605633802817,5.666666666666667,3,7.0,1.6,5.5,6.050000000000001,7.15,6.15
Slytherin,5,9,10,6,10,5,5,5,0.819672131147541,0.8910891089108911,8.333333333333334,5,7.0,2.5,5.25,4.4,8.9,8.8
Ravenclaw,3,10,9,6,7,2,9,6,0.49180327868852464,1.098901098901099,6.333333333333333,1,9.0,1.8,5.8500000000000005,6.050000000000001,8.95,7.1000000000000005
Gryffindor,7,5,6,6,7,6,10,10,1.1475409836065575,0.819672131147541,6.666666666666667,0,4.5,7.0,8.1,6.3,5.4750000000000005,4.85
Ravenclaw,3,10,9,6,4,3,5,6,0.49180327868852464,1.098901098901099,5.333333333333333,5,8.5,1.8,4.85,4.9,8.225,7.15
Ravenclaw,4,10,9,5,5,4,6,3,0.7843137254901962,1.098901098901099,6.0,4,8.0,1.2,4.550000000000001,4.6,8.3,7.2
Ravenclaw,4,9,7,6,7,4,6,6,0.6557377049180328,1.267605633802817,6.0,4,7.5,2.4,5.4,5.4,7.825000000000001,6.799999999999999
Gryffindor,8,8,7,6,8,9,7,7,1.3114754098360657,1.1267605633802817,7.666666666666667,3,4.5,5.6,7.050000000000001,4.9,6.925000000000001,6.649999999999999
Ravenclaw,5,8,7,6,7,4,6,4,0.819672131147541,1.1267605633802817,6.333333333333333,4,7.0,2.0,5.3,5.4,7.3500000000000005,6.599999999999999
Gryffindor,10,7,5,9,8,5,10,7,1.098901098901099,1.3725490196078431,7.666666666666667,0,6.0,7.0,9.15,7.85,6.549999999999999,5.15
Slytherin,8,8,8,4,8,5,4,6,1.9512195121951221,0.9876543209876544,8.0,6,6.5,4.8,5.6000000000000005,3.75,7.625,7.6000000000000005
Hufflepuff,5,7,6,10,7,4,6,4,0.49504950495049505,1.1475409836065575,6.0,4,6.5,2.0,6.3,7.199999999999999,6.675,6.05
Hufflepuff,4,9,5,8,4,3,8,6,0.4938271604938272,1.7647058823529413,4.333333333333333,2,8.0,2.4,6.4,7.25,6.95,4.95
Gryffindor,7,4,8,8,6,8,9,7,0.8641975308641976,0.4938271604938272,7.0,1,3.0,4.9,7.75,6.15,4.95,5.3
Gryffindor,9,7,6,7,10,7,8,7,1.267605633802817,1.1475409836065575,8.333333333333334,2,5.0,6.3,7.85,6.050000000000001,6.9,6.4
Slytherin,5,7,8,7,10,6,4,7,0.7042253521126761,0.8641975308641976,7.666666666666667,6,5.5,3.5,5.65,4.8,7.425,7.9
Slytherin,7,6,9,7,10,4,5,6,0.9859154929577465,0.6593406593406593,8.666666666666666,5,6.0,4.2,6.3,5.15,7.3999999999999995,7.8500000000000005
Ravenclaw,7,10,6,6,6,5,6,4,1.1475409836065575,1.639344262295082,6.333333333333333,4,7.5,2.8,5.8999999999999995,5.45,7.775,6.3999999999999995
Gryffindor,8,7,5,7,8,7,9,7,1.1267605633802817,1.3725490196078431,7.0,1,5.0,5.6,7.800000000000001,6.500000000000001,6.299999999999999,5.3500000000000005
Hufflepuff,7,5,3,10,3,4,9,6,0.6930693069306931,1.6129032258064515,4.333333333333333,1,5.5,4.2,8.05,8.55,4.325,3.0
Slytherin,5,7,10,6,7,6,5,6,0.819672131147541,0.6930693069306931,7.333333333333333,5,5.5,3.0,5.45,4.25,7.225,7.65
Hufflepuff,5,3,4,8,6,1,9,3,0.617283950617284,0.7317073170731708,5.0,1,6.0,1.5,6.35,8.0,4.55,3.7
Hufflepuff,6,6,6,8,4,2,7,4,0.7407407407407408,0.9836065573770493,5.333333333333333,3,7.0,2.4,6.35,6.95,5.85,4.9
Slytherin,5,9,10,5,9,5,4,5,0.9803921568627452,0.8910891089108911,8.0,6,7.0,2.5,4.75,3.75,8.700000000000001,8.75
Gryffindor,7,5,5,6,9,9,7,7,1.1475409836065575,0.9803921568627452,7.0,3,3.0,4.9,6.75,5.300000000000001,5.3,5.6
Hufflepuff,4,9,3,10,5,2,8,6,0.39603960396039606,2.903225806451613,4.0,2,8.5,2.4,6.9,8.6,6.875,4.5
Hufflepuff,5,7,5,8,6,4,8,5,0.617283950617284,1.3725490196078431,5.333333333333333,2,6.5,2.5,6.5,7.1,6.2749999999999995,5.050000000000001
Gryffindor,9,5,9,6,9,8,8,10,1.4754098360655739,0.5494505494505495,9.0,2,3.5,9.0,8.2,4.9,6.225,6.800000000000001
Slytherin,7,7,8,4,10,3,5,7,1.707317073170732,0.8641975308641976,8.333333333333334,5,7.0,4.9,5.75,4.3,7.799999999999999,7.7
Gryffindor,9,8,5,8,9,7,9,9,1.1111111111111112,1.5686274509803924,7.666666666666667,1,5.5,8.1,8.75,6.9,6.975,5.8
Slytherin,5,6,10,5,10,5,7,8,0.9803921568627452,0.594059405940594,8.333333333333334,3,5.5,4.0,6.1,4.5,7.475,7.800000000000001
Ravenclaw,4,8,9,8,5,5,7,5,0.4938271604938272,0.8791208791208791,6.0,3,6.5,2.0,5.95,5.9,7.225,6.6
Gryffindor,7,4,9,9,9,8,7,7,0.7692307692307693,0.43956043956043955,8.333333333333334,3,3.0,4.9,7.5,5.85,5.75,6.800000000000001
Ravenclaw,9,9,6,5,8,2,8,5,1.7647058823529413,1.4754098360655739,7.666666666666667,2,8.5,4.5,6.949999999999999,6.0,8.075000000000001,6.3
Ravenclaw,7,8,7,8,8,2,10,6,0.8641975308641976,1.1267605633802817,7.333333333333333,0,8.0,4.2,7.8,7.500000000000001,7.800000000000001,6.049999999999999
Slytherin,8,8,9,6,10,6,6,6,1.3114754098360657,0.8791208791208791,9.0,4,6.0,4.8,6.6000000000000005,4.7,8.1,8.05
Slytherin,7,8,9,4,6,3,4,6,1.707317073170732,0.8791208791208791,7.333333333333333,6,7.5,4.2,5.3,3.8500000000000005,7.675,7.45
Slytherin,6,7,7,4,10,5,5,6,1.4634146341463417,0.9859154929577465,7.666666666666667,5,6.0,3.6,5.25,4.2,7.35,7.35
Hufflepuff,4,5,6,10,6,4,9,5,0.39603960396039606,0.819672131147541,5.333333333333333,1,5.5,2.0,6.95,7.949999999999999,5.525,4.8
Ravenclaw,7,9,6,8,4,6,7,4,0.8641975308641976,1.4754098360655739,5.666666666666667,3,6.5,2.8,6.6499999999999995,6.35,6.775,5.5
Ravenclaw,4,9,9,7,5,4,5,4,0.5633802816901409,0.989010989010989,6.0,5,7.5,1.6,5.0,5.15,7.825,7.2
Gryffindor,7,6,6,7,6,6,10,10,0.9859154929577465,0.9836065573770493,6.333333333333333,0,5.0,7.0,8.35,6.7,5.75,4.8
Ravenclaw,6,10,6,7,8,2,5,4,0.8450704225352114,1.639344262295082,6.666666666666667,5,9.0,2.4,5.6,6.050000000000001,8.55,7.1
Slytherin,5,8,10,6,10,3,3,7,0.819672131147541,0.7920792079207921,8.333333333333334,7,7.5,3.5,5.15,4.2,8.675,9.0
Ravenclaw,4,10,9,7,6,5,3,6,0.5633802816901409,1.098901098901099,6.333333333333333,7,7.5,2.4,4.9,4.5,8.375,8.05
Hufflepuff,6,6,5,8,3,2,7,5,0.7407407407407408,1.1764705882352942,4.666666666666667,3,7.0,3.0,6.55,7.15,5.449999999999999,4.300000000000001
Slytherin,5,6,8,4,8,3,6,8,1.2195121951219514,0.7407407407407408,7.0,4,6.5,4.0,5.6,4.55,6.924999999999999,6.8
Hufflepuff,4,7,3,10,3,3,9,5,0.39603960396039606,2.258064516129032,3.3333333333333335,1,7.0,2.0,6.95,8.700000000000001,5.399999999999999,3.4000000000000004
Slytherin,5,8,8,4,9,3,6,8,1.2195121951219514,0.9876543209876544,7.333333333333333,4,7.5,4.0,5.6,4.55,8.075000000000001,7.45
Ravenclaw,6,9,6,7,6,5,7,7,0.8450704225352114,1.4754098360655739,6.0,3,7.0,4.2,6.7,6.1000000000000005,7.300000000000001,6.0
Slytherin,6,8,8,5,8,2,6,8,1.1764705882352942,0.9876543209876544,7.333333333333333,4,8.0,4.8,6.15,5.1,8.0,7.2
Hufflepuff,6,5,5,9,3,2,6,6,0.6593406593406593,0.9803921568627452,4.666666666666667,4,6.5,3.6,6.75,7.3,4.975,4.3
Ravenclaw,5,8,6,5,6,5,6,7,0.9803921568627452,1.3114754098360657,5.666666666666667,4,6.5,3.5,5.65,5.05,6.825,5.999999999999999
Gryffindor,7,6,7,9,8,8,8,7,0.7692307692307693,0.8450704225352114,7.333333333333333,2,4.0,4.9,7.75,6.499999999999999,6.1,6.05
Slytherin,8,8,10,5,10,6,5,5,1.5686274509803924,0.7920792079207921,9.333333333333334,5,6.0,4.0,5.9,3.85,8.3,8.6
Slytherin,5,9,10,5,10,5,5,6,0.9803921568627452,0.8910891089108911,8.333333333333334,5,7.0,3.0,5.2,4.0,8.9,8.8
Slytherin,7,8,10,6,8,6,6,5,1.1475409836065575,0.7920792079207921,8.333333333333334,4,6.0,3.5,6.1,4.5,7.9,7.8999999999999995
Ravenclaw,3,9,6,7,8,5,8,4,0.4225352112676057,1.4754098360655739,5.666666666666667,2,7.0,1.2,5.45,6.3500000000000005,7.700000000000001,6.3
Slytherin,6,6,8,4,10,2,6,6,1.4634146341463417,0.7407407407407408,8.0,4,7.0,3.6,5.5,4.7,7.449999999999999,7.3
Ravenclaw,5,8,7,6,4,4,6,4,0.819672131147541,1.1267605633802817,5.333333333333333,4,7.0,2.0,5.3,5.4,6.75,5.85
Slytherin,7,9,8,6,9,6,3,5,1.1475409836065575,1.1111111111111112,8.0,7,6.5,3.5,5.35,4.15,8.175,8.25
Slytherin,6,7,10,6,9,4,5,8,0.9836065573770493,0.6930693069306931,8.333333333333334,5,6.5,4.8,6.15,4.550000000000001,7.874999999999999,8.15
Ravenclaw,7,8,9,6,5,2,5,7,1.1475409836065575,0.8791208791208791,7.0,5,8.0,4.9,6.25,5.050000000000001,7.6,7.0
Hufflepuff,5,6,3,9,3,2,7,4,0.5494505494505495,1.9354838709677418,3.6666666666666665,3,7.0,2.0,6.3,7.95,5.049999999999999,3.6
Slytherin,5,9,9,4,7,4,4,7,1.2195121951219514,0.989010989010989,7.0,6,7.5,3.5,4.9,3.7,8.225,7.9
Gryffindor,7,4,7,6,9,8,9,9,1.1475409836065575,0.5633802816901409,7.666666666666667,1,3.0,6.3,7.6499999999999995,5.55,5.35,5.699999999999999
Hufflepuff,5,6,3,10,4,6,9,4,0.49504950495049505,1.9354838709677418,4.0,1,5.0,2.0,7.05,8.25,4.75,3.45
Gryffindor,8,5,7,8,8,6,9,9,0.9876543209876544,0.7042253521126761,7.666666666666667,1,4.5,7.2,8.450000000000001,6.65,5.875,5.6499999999999995
Slytherin,8,8,8,5,10,6,5,8,1.5686274509803924,0.9876543209876544,8.666666666666666,5,6.0,6.4,6.5,4.25,7.9,7.9
Hufflepuff,6,7,4,7,7,3,7,5,0.8450704225352114,1.707317073170732,5.666666666666667,3,7.0,3.0,6.3,6.800000000000001,6.3999999999999995,5.15
Slytherin,5,8,10,5,7,3,4,7,0.9803921568627452,0.7920792079207921,7.333333333333333,6,7.5,3.5,5.15,4.05,8.075,8.05
Ravenclaw,6,10,9,6,8,5,5,6,0.9836065573770493,1.098901098901099,7.666666666666667,5,7.5,3.6,5.75,4.6000000000000005,8.775,8.15
Slytherin,7,6,9,4,9,5,5,8,1.707317073170732,0.6593406593406593,8.333333333333334,5,5.5,5.6,5.949999999999999,3.8000000000000003,7.074999999999999,7.6000000000000005
Hufflepuff,4,7,6,10,6,3,7,2,0.39603960396039606,1.1475409836065575,5.333333333333333,3,7.0,0.8,5.8500000000000005,7.6,6.6,5.6
Ravenclaw,7,8,6,3,7,4,5,4,2.258064516129032,1.3114754098360657,6.666666666666667,5,7.0,2.8,4.8999999999999995,4.15,7.15,6.449999999999999
Slytherin,8,8,8,5,10,4,7,6,1.5686274509803924,0.9876543209876544,8.666666666666666,3,7.0,4.8,6.6000000000000005,5.050000000000001,8.15,7.5
Slytherin,7,9,9,7,8,3,4,6,0.9859154929577465,0.989010989010989,8.0,6,8.0,4.2,6.05,5.05,8.55,8.15
Hufflepuff,6,8,4,10,6,5,5,5,0.594059405940594,1.9512195121951221,5.333333333333333,5,6.5,3.0,6.55,7.2,6.425,5.5
Slytherin,5,9,10,6,10,3,5,5,0.819672131147541,0.8910891089108911,8.333333333333334,5,8.0,2.5,5.25,4.7,9.15,8.8
Slytherin,7,6,8,7,10,3,6,5,0.9859154929577465,0.7407407407407408,8.333333333333334,4,6.5,3.5,6.35,5.750000000000001,7.324999999999999,7.3
Hufflepuff,4,6,4,8,3,2,8,4,0.4938271604938272,1.4634146341463417,3.6666666666666665,2,7.0,1.6,6.0,7.6000000000000005,5.25,3.75
Hufflepuff,7,8,5,10,3,2,7,3,0.6930693069306931,1.5686274509803924,5.0,3,8.0,2.1,6.949999999999999,7.95,6.4,4.699999999999999
Gryffindor,9,6,7,6,7,8,8,8,1.4754098360655739,0.8450704225352114,7.666666666666667,2,4.0,7.2,7.799999999999999,5.3,5.9,5.8
Slytherin,5,8,9,5,10,5,4,4,0.9803921568627452,0.8791208791208791,8.0,6,6.5,2.0,4.55,3.95,8.225,8.45
Slytherin,6,8,10,7,9,7,7,8,0.8450704225352114,0.7920792079207921,8.333333333333334,3,5.5,4.8,6.9,5.000000000000001,7.975,7.949999999999999
Slytherin,6,8,9,5,7,5,5,6,1.1764705882352942,0.8791208791208791,7.333333333333333,5,6.5,3.6,5.5,4.2,7.625,7.5
Slytherin,8,8,9,5,7,3,7,6,1.5686274509803924,0.8791208791208791,8.0,3,7.5,4.8,6.6000000000000005,5.0,7.875,7.1
Hufflepuff,6,5,5,8,5,5,6,4,0.7407407407407408,0.9803921568627452,5.333333333333333,4,5.0,2.4,6.1,6.45,5.0,4.8
Slytherin,5,6,7,7,9,3,4,5,0.7042253521126761,0.8450704225352114,7.0,6,6.5,2.5,5.25,5.45,6.925,7.1
Gryffindor,8,6,6,8,7,9,10,8,0.9876543209876544,0.9836065573770493,7.0,0,3.5,6.4,8.5,6.65,5.575,5.05
Ravenclaw,6,10,6,7,5,3,6,6,0.8450704225352114,1.639344262295082,5.666666666666667,4,8.5,3.6,6.25,6.15,7.825,6.1499999999999995
Gryffindor,8,6,6,6,10,7,8,9,1.3114754098360657,0.9836065573770493,8.0,2,4.5,7.2,7.7,5.65,6.425,6.2
Ravenclaw,7,10,7,8,7,5,7,3,0.8641975308641976,1.4084507042253522,7.0,3,7.5,2.1,6.449999999999999,6.300000000000001,8.175,6.799999999999999
Slytherin,7,8,10,5,8,3,3,6,1.3725490196078431,0.7920792079207921,8.333333333333334,7,7.5,4.2,5.3,3.8,8.275,8.5
